wl,n
125.1227623,5.841016959
124.4045669,5.840386312
123.6904939,5.83974843
122.9805196,5.839103235
122.2746205,5.838450652
121.5727732,5.837790601
120.8749545,5.837123004
120.1811412,5.836447783
119.4913103,5.835764858
118.8054391,5.835074149
118.1235046,5.834375576
117.4454844,5.833669058
116.7713561,5.832954513
116.1010971,5.832231862
115.4346854,5.831501021
114.7720988,5.830761909
114.1133155,5.830014443
113.4583135,5.82925854
112.8070712,5.828494118
112.1595669,5.827721092
111.5157793,5.826939381
110.875687,5.826148899
110.2392687,5.825349564
109.6065035,5.824541291
108.9773702,5.823723997
108.3518482,5.822897597
107.7299166,5.822062009
107.1115548,5.821217148
106.4967424,5.820362931
105.885459,5.819499274
105.2776843,5.818626095
104.6733982,5.81774331
104.0725806,5.816850837
103.4752117,5.815948594
102.8812716,5.8150365
102.2907408,5.814114474
101.7035995,5.813182436
101.1198283,5.812240306
100.539408,5.811288005
99.96231923,5.810325457
99.38854291,5.809352584
98.81806002,5.808369311
98.25085167,5.807375564
97.68689904,5.80637127
97.12618347,5.805356358
96.56868636,5.804330758
96.01438924,5.803294402
95.46327375,5.802247224
94.91532161,5.80118916
94.37051469,5.800120148
93.82883491,5.79904013
93.29026434,5.797949047
92.75478512,5.796846847
92.22237951,5.795733477
91.69302987,5.79460889
91.16671866,5.793473041
90.64342844,5.792325889
90.12314186,5.791167397
89.6058417,5.789997532
89.09151079,5.788816265
88.58013211,5.787623571
88.0716887,5.786419431
87.56616372,5.785203831
87.06354042,5.783976763
86.56380213,5.782738224
86.06693231,5.781488218
85.57291448,5.780226754
85.08173228,5.77895385
84.59336943,5.77766953
84.10780975,5.776373826
83.62503714,5.775066781
83.14503561,5.773748442
82.66778925,5.772418868
82.19328226,5.771078129
81.7214989,5.769726302
81.25242354,5.768363478
80.78604063,5.766989758
80.32233473,5.765605255
79.86129047,5.764210095
79.40289257,5.762804418
78.94712584,5.761388376
78.49397518,5.75996214
78.04342556,5.758525893
77.59546207,5.757079835
77.15006986,5.755624185
76.70723416,5.754159179
76.26694031,5.752685072
75.82917371,5.75120214
75.39391987,5.749710678
74.96116434,5.748211005
74.5308928,5.746703462
74.10309099,5.745188415
73.67774473,5.743666254
73.25483992,5.742137398
72.83436256,5.740602289
72.4162987,5.739061404
72.0006345,5.737515244
71.58735619,5.735964345
71.17645005,5.734409276
70.76790249,5.732850637
70.36169997,5.731289067
69.95782901,5.72972524
69.55627625,5.728159868
69.15702837,5.726593703
68.76007214,5.72502754
68.36539441,5.723462213
67.9729821,5.721898603
67.58282221,5.720337636
67.19490181,5.718780283
66.80920804,5.717227565
66.42572813,5.715680552
66.04444936,5.714140366
65.66535911,5.71260818
65.2884448,5.711085219
64.91369396,5.709572766
64.54109415,5.708072156
64.17063305,5.706584781
63.80229836,5.705112092
63.43607788,5.703655595
63.07195949,5.702216854
62.70993111,5.700797491
62.34998074,5.699399187
61.99209646,5.698023678
61.63626641,5.696672758
61.2824788,5.695348277
60.9307219,5.694052137
60.58098407,5.692786293
60.2332537,5.69155275
59.88751928,5.69035356
59.54376934,5.689190818
59.20199251,5.688066656
58.86217745,5.686983245
58.52431291,5.685942782
58.18838768,5.684947487
57.85439064,5.683999596
57.52231071,5.683101355
57.1921369,5.682255006
56.86385827,5.68146278
56.53746393,5.680726889
56.21294306,5.680049506
55.89028493,5.67943276
55.56947883,5.678878717
55.25051413,5.678389361
54.93338026,5.677966585
54.61806672,5.677612163
54.30456306,5.677327735
53.99285888,5.677114784
53.68294386,5.676974611
53.37480774,5.67690831
53.06844029,5.676916744
52.76383137,5.67700051
52.46097088,5.677159916
52.15984878,5.677394944
51.86045511,5.677705216
51.56277993,5.678089964
51.26681339,5.678547986
50.97254567,5.679077612
50.67996703,5.679676664
50.38906776,5.680342412
50.09983824,5.681071535
49.81226887,5.681860076
49.52635014,5.682703396
49.24207255,5.683596133
48.95942669,5.684532154
48.6784032,5.685504512
48.39899277,5.686505396
48.12118613,5.687526093
47.84497408,5.688556941
47.57034747,5.689587283
47.29729719,5.690605433
47.0258142,5.691598632
46.75588951,5.692553014
46.48751416,5.693453571
46.22067927,5.694284122
45.95537599,5.695027292
45.69159553,5.695664485
45.42932915,5.696175868
45.16856816,5.696540362
44.90930392,5.696735638
44.65152783,5.696738114
44.39523137,5.696522965
44.14040602,5.696064143
